dane_institucion	anio	grado_codigo	grado_nombre	nivel_educativo	cantidad_estudiantes
INST_19	2024	2	Segundo	Primaria	33
INST_19	2024	3	Tercero	Primaria	41
INST_19	2024	4	Cuarto	Primaria	38
INST_19	2024	5	Quinto	Primaria	42
INST_19	2024	6	Sexto	Secundaria	28
INST_19	2024	7	Séptimo	Secundaria	28
INST_19	2024	8	Octavo	Secundaria	34
INST_19	2024	9	Noveno	Secundaria	45
INST_19	2024	10	Décimo	Media	60
INST_19	2024	11	Once	Media	37
INST_20	2024	PJ	Prejardín	Preescolar	0
INST_20	2024	J	Jardín	Preescolar	0
INST_20	2024	T	Transición	Preescolar	49
INST_20	2024	1	Primero	Primaria	64
INST_20	2024	2	Segundo	Primaria	66
INST_20	2024	3	Tercero	Primaria	63
INST_20	2024	4	Cuarto	Primaria	58
INST_20	2024	5	Quinto	Primaria	64
INST_20	2024	6	Sexto	Secundaria	70
INST_20	2024	7	Séptimo	Secundaria	63
INST_20	2024	8	Octavo	Secundaria	63
INST_20	2024	9	Noveno	Secundaria	71
INST_20	2024	10	Décimo	Media	69
INST_20	2024	11	Once	Media	73
INST_21	2024	PJ	Prejardín	Preescolar	0
INST_21	2024	J	Jardín	Preescolar	0
INST_21	2024	T	Transición	Preescolar	38
INST_21	2024	1	Primero	Primaria	41
INST_21	2024	2	Segundo	Primaria	44
INST_21	2024	3	Tercero	Primaria	40
INST_21	2024	4	Cuarto	Primaria	35
INST_21	2024	5	Quinto	Primaria	34
INST_21	2024	6	Sexto	Secundaria	47
INST_21	2024	7	Séptimo	Secundaria	40
INST_21	2024	8	Octavo	Secundaria	37
INST_21	2024	9	Noveno	Secundaria	42
INST_21	2024	10	Décimo	Media	32
INST_21	2024	11	Once	Media	37
INST_22	2024	PJ	Prejardín	Preescolar	0
INST_22	2024	J	Jardín	Preescolar	0
INST_22	2024	T	Transición	Preescolar	24
INST_22	2024	1	Primero	Primaria	42
INST_22	2024	2	Segundo	Primaria	54
INST_22	2024	3	Tercero	Primaria	58
INST_22	2024	4	Cuarto	Primaria	37
INST_22	2024	5	Quinto	Primaria	51
INST_22	2024	6	Sexto	Secundaria	42
INST_22	2024	7	Séptimo	Secundaria	41
INST_22	2024	8	Octavo	Secundaria	45
INST_22	2024	9	Noveno	Secundaria	42
INST_22	2024	10	Décimo	Media	44
INST_22	2024	11	Once	Media	0
